Message Type,Sequence Number,Latitude,Longitude,Heading
LCV_BS6_OBD2_PERIODIC,39271,12.95259,79.96617,183.36
LCV_BS6_OBD2_PERIODIC,39272,12.95258,79.96617,212.22
LCV_BS6_OBD2_PERIODIC,39273,12.95257,79.96617,178.75
GPS_MESSAGE,3,12.95257,79.96617,232
LCV_BS6_OBD2_PERIODIC,39274,12.95257,79.96617,228.61
LCV_BS6_OBD2_PERIODIC,39275,12.95259,79.96617,328.02
LCV_BS6_OBD2_PERIODIC,39276,12.95259,79.96617,257.19
LCV_BS6_OBD2_PERIODIC,39277,12.95259,79.96616,247.41
LCV_BS6_OBD2_PERIODIC,39278,12.95258,79.96617,147.63
LCV_BS6_OBD2_PERIODIC,39279,12.95258,79.96617,200.64
LCV_BS6_OBD2_PERIODIC,39280,12.95257,79.96617,206.69
LCV_BS6_OBD2_PERIODIC,39281,12.95258,79.96617,247.94
LCV_BS6_OBD2_PERIODIC,39282,12.95257,79.96617,258.95
LCV_BS6_OBD2_PERIODIC,39283,12.95258,79.96617,128.97
GPS_MESSAGE,13,12.95258,79.96617,205
LCV_BS6_OBD2_PERIODIC,39284,12.95258,79.96617,259.08
LCV_BS6_OBD2_PERIODIC,39285,12.95258,79.96617,4.84
LCV_BS6_OBD2_PERIODIC,39286,12.95257,79.96617,239.74
GPS_MESSAGE,15,12.95257,79.96618,154
TRIP_END,0,12.95257,79.96618,
TRIP_START,0,12.95257,79.96618,
VERSION_UPDATE,0,12.95257,79.96618,
GPS_MESSAGE,1,12.95257,79.96618,154
IGNITION_ON,1,12.95257,79.96618,
GPS_MESSAGE,2,12.95221,79.96521,179
LCV_BS6_OBD2_PERIODIC,39287,12.95221,79.96521,179.53
LCV_BS6_OBD2_PERIODIC,39288,12.95243,79.96605,191.99
LCV_BS6_OBD2_PERIODIC,39289,12.95236,79.96614,197.14
LCV_BS6_OBD2_PERIODIC,39290,12.95234,79.96617,126.2
LCV_BS6_OBD2_PERIODIC,39291,12.95227,79.96623,149.5
LCV_BS6_OBD2_PERIODIC,39292,12.95211,79.96631,167.47
LCV_BS6_OBD2_PERIODIC,39293,12.95196,79.96634,165.67
HEARTBEAT_MESSAGE,0,0,0,
LCV_BS6_OBD2_PERIODIC,39294,12.9518,79.96621,223.33
LCV_BS6_OBD2_PERIODIC,39295,12.95175,79.96608,264.98
LCV_BS6_OBD2_PERIODIC,39296,12.95177,79.96601,286.48
GPS_MESSAGE,8,12.95179,79.96597,287
LCV_VEHICLE_TOWED_START,2,12.95179,79.96597,
LCV_BS6_OBD2_PERIODIC,39297,12.95182,79.96587,303.8
LCV_BS6_OBD2_PERIODIC,39298,12.95188,79.96569,293.83
LCV_BS6_OBD2_PERIODIC,39299,12.95196,79.96555,302.79
LCV_BS6_OBD2_PERIODIC,39300,12.95207,79.9654,330.7
LCV_BS6_OBD2_PERIODIC,39301,12.95231,79.96536,338.76
LCV_BS6_OBD2_PERIODIC,39302,12.95249,79.96525,310.55
LCV_BS6_OBD2_PERIODIC,39303,12.95252,79.96515,225.22
LCV_VEHICLE_TOWED_END,4,12.9525,79.96514,
LCV_BS6_OBD2_PERIODIC,39304,12.9525,79.96515,47.58
LCV_BS6_OBD2_PERIODIC,39305,12.95257,79.96517,8.86
LCV_BS6_OBD2_PERIODIC,39306,12.95259,79.96516,342.79
GPS_MESSAGE,2,12.9526,79.96516,0
LCV_BS6_OBD2_PERIODIC,39307,12.95259,79.96516,266.1
LCV_BS6_OBD2_PERIODIC,39308,12.9526,79.96516,268.11
IGNITION_OFF,5,12.9526,79.96516,
LCV_BS6_OBD2_PERIODIC,39309,12.95259,79.96516,295.54
LCV_BS6_OBD2_PERIODIC,39310,12.9526,79.96517,35.83
LCV_BS6_OBD2_PERIODIC,39311,12.9526,79.96517,32.56
LCV_BS6_OBD2_PERIODIC,39312,12.95261,79.96518,299.25
LCV_BS6_OBD2_PERIODIC,39313,12.95261,79.96518,327.17
LCV_BS6_OBD2_PERIODIC,39314,12.95261,79.96517,7.69
LCV_BS6_OBD2_PERIODIC,39315,12.95262,79.96517,278.51
LCV_BS6_OBD2_PERIODIC,39316,12.95261,79.96516,226.36
GPS_MESSAGE,13,12.95261,79.96517,146
LCV_BS6_OBD2_PERIODIC,39317,12.95261,79.96517,46.81
